id,code,description
cat_otherpayment001,001,Reintegro de ISR pagado en exceso (siempre que no haya sido enterado al SAT).
cat_otherpayment002,002,Subsidio para el empleo (efectivamente entregado al trabajador).
cat_otherpayment003,003,Viáticos (entregados al trabajador).
cat_otherpayment004,004,Aplicación de saldo a favor por compensación anual.
cat_otherpayment005,005,Reintegro de ISR retenido en exceso de ejercicio anterior (siempre que no haya sido enterado al SAT).
cat_otherpayment006,006,Alimentos en bienes (Servicios de comedor y comida) Art 94 último párrafo LISR.
cat_otherpayment007,007,ISR ajustado por subsidio.
cat_otherpayment008,008,Subsidio efectivamente entregado que no correspondía (Aplica sólo cuando haya ajuste al cierre de mes en relación con el Apéndice 7 de la guía de llenado de nómina).
cat_otherpayment009,009,Reembolso de descuentos efectuados para el crédito de vivienda.
cat_otherpayment010,999,"Pagos distintos a los listados y que no deben considerarse como ingreso por sueldos, salarios o ingresos asimilados."
