id,account_debit/id,account_credit/id
l10n_mx_hr_payroll.hr_salary_rule_dpa_groceries,l10n_mx_hr_payroll_account.cuenta60_115_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_slyn_groceries,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_d001_christmas_bonus,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_slyn_christmas_bonus,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_slyn_liquidaciones_de_savings_fund,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_d001_settlement,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_1000,l10n_mx_hr_payroll_account.cuenta60_101_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_1010,l10n_mx_hr_payroll_account.cuenta60_101_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_BP_1015,l10n_mx_hr_payroll_account.cuenta60_105_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_1200,l10n_mx_hr_payroll_account.cuenta60_174_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_1300,l10n_mx_hr_payroll_account.cuenta60_115_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_PA_1400,l10n_mx_hr_payroll_account.cuenta60_104_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_extratime_double,l10n_mx_hr_payroll_account.cuenta60_103_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_extratime_triple,l10n_mx_hr_payroll_account.cuenta60_103_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_SAE,l10n_mx_hr_payroll_account.cuenta11_306_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_ISR_5150,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_5200,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_611_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_10000,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_weekly_sp_SAE,l10n_mx_hr_payroll_account.cuenta11_306_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_sp_isr_5150,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_weekly_sp_10000,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_biweekly_1000,l10n_mx_hr_payroll_account.cuenta60_101_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_1010,l10n_mx_hr_payroll_account.cuenta60_101_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_BP_1015,l10n_mx_hr_payroll_account.cuenta60_105_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_1200,l10n_mx_hr_payroll_account.cuenta60_174_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_1300,l10n_mx_hr_payroll_account.cuenta60_115_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_PA_1400,l10n_mx_hr_payroll_account.cuenta60_104_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_extratime_double,l10n_mx_hr_payroll_account.cuenta60_103_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_extratime_triple,l10n_mx_hr_payroll_account.cuenta60_103_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_SAE,l10n_mx_hr_payroll_account.cuenta11_306_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_ISR_5150,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_5200,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_611_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_10000,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_biweekly_sp_SAE,l10n_mx_hr_payroll_account.cuenta11_306_000,l10n_mx_hr_payroll_account.cuenta20_000_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_sp_isr_5150,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_biweekly_sp_10000,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_ptu_sp_isr_5150,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_ptu_sp_10000,l10n_mx_hr_payroll_account.cuenta20_000_000,
l10n_mx_hr_payroll.hr_salary_rule_bonus_sp_isr_5150,l10n_mx_hr_payroll_account.cuenta20_000_000,l10n_mx_hr_payroll_account.cuenta21_601_000
l10n_mx_hr_payroll.hr_salary_rule_bonus_sp_10000,l10n_mx_hr_payroll_account.cuenta20_000_000,
